List:
"Mod_Base",""
"A3","A3\Ui_f\data\Logos\arma3_expansion_ca"
"DLCBundle","\A3\Ui_f\data\Logos\arma3_bundle_icon_ca.paa"
"Curator","\A3\Ui_F_Curator\Data\Logos\arma3_zeus_icon_ca.paa"
"Kart","\A3\Data_F_Kart\Logos\arma3_karts_icon_ca.paa"
"Heli","\A3\Data_F_Heli\Logos\arma3_heli_icon_ca.paa"
"Mark","\A3\Data_F_Mark\Logos\arma3_Mark_icon_ca.paa"
"OfficialMod","\A3\Data_F_Mod\Logos\arma3_Mod_icon_ca.paa"
"Expansion","\A3\Data_F_Exp\Logos\arma3_exp_icon_ca.paa"
"DLCBundle2","\A3\Ui_f\data\Logos\arma3_bundle2_icon_ca.paa"
"Jets","\A3\Data_F_Jets\Logos\jets_icon_ca.paa"
"Argo","\A3\Data_F_Argo\Logos\arma3_argo_icon_ca.paa"
"Orange","\A3\Data_F_Orange\Logos\arma3_orange_picture_ca.paa"
"Tacops","\A3\Data_F_Tacops\Logos\arma3_tacops_icon_ca.paa"
"Tank","\A3\Data_F_Tank\Logos\arma3_tank_picture_ca.paa"
"Warlords","\A3\Data_F_Warlords\Logos\arma3_Warlords_icon_ca.paa"
"Enoch","\A3\Data_F_Enoch\Logos\arma3_enoch_picture_ca.paa"
"Oldman","\A3\Data_F_Oldman\Logos\arma3_Oldman_icon_ca.paa"
"Default",""
"CA_Magazine",""
"CA_LauncherMagazine",""
"30Rnd_556x45_Stanag","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_CA.paa"
"30Rnd_556x45_Stanag_green","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_green_CA.paa"
"30Rnd_556x45_Stanag_red","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_red_CA.paa"
"30Rnd_556x45_Stanag_Tracer_Red","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Tracer_Red_CA.paa"
"30Rnd_556x45_Stanag_Tracer_Green","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Tracer_Green_CA.paa"
"30Rnd_556x45_Stanag_Tracer_Yellow","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Tracer_Yellow_CA.paa"
"30Rnd_556x45_Stanag_Sand","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Sand_CA.paa"
"30Rnd_556x45_Stanag_Sand_green","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Sand_green_CA.paa"
"30Rnd_556x45_Stanag_Sand_red","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Sand_red_CA.paa"
"30Rnd_556x45_Stanag_Sand_Tracer_Red","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Sand_Tracer_Red_CA.paa"
"30Rnd_556x45_Stanag_Sand_Tracer_Green","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Sand_Tracer_Green_CA.paa"
"30Rnd_556x45_Stanag_Sand_Tracer_Yellow","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_556x45_Stanag_Sand_Tracer_Yellow_CA.paa"
"20Rnd_556x45_UW_mag","\A3\weapons_f\data\ui\m_20stanag_CA.paa"
"30Rnd_65x39_caseless_mag","\A3\weapons_f\data\ui\m_30stanag_caseless_CA.paa"
"30Rnd_65x39_caseless_khaki_mag","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_65x39_caseless_khaki_mag_CA.paa"
"30Rnd_65x39_caseless_black_mag","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_65x39_caseless_black_mag_CA.paa"
"30Rnd_65x39_caseless_green","\A3\weapons_f\data\ui\m_20stanag_CA.paa"
"30Rnd_65x39_caseless_mag_Tracer","\A3\weapons_f\data\ui\m_30stanag_caseless_red_CA.paa"
"30Rnd_65x39_caseless_khaki_mag_Tracer","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_65x39_caseless_khaki_mag_Tracer_CA.paa"
"30Rnd_65x39_caseless_black_mag_Tracer","\a3\Weapons_F\MagazineProxies\data\UI\icon_30Rnd_65x39_caseless_black_mag_Tracer_CA.paa"
"30Rnd_65x39_caseless_green_mag_Tracer","\A3\weapons_f\data\ui\m_20stanag_green_ca.paa"
"20Rnd_762x51_Mag","\a3\Weapons_F\MagazineProxies\data\UI\icon_20Rnd_762x51_Mag_ca.paa"
"7Rnd_408_Mag","\A3\weapons_f\data\UI\m_M24_CA.paa"
"5Rnd_127x108_Mag","\A3\Weapons_F_EPA\Data\ui\M_5rnd_127x108_ball_CA.paa"
"100Rnd_65x39_caseless_mag","\A3\Weapons_F\Data\UI\M_100Rnd_65x39_CA.paa"
"100Rnd_65x39_caseless_khaki_mag","\a3\Weapons_F\MagazineProxies\data\UI\icon_100Rnd_65x39_caseless_khaki_mag_CA.paa"
"100Rnd_65x39_caseless_black_mag","\a3\Weapons_F\MagazineProxies\data\UI\icon_100Rnd_65x39_caseless_black_mag_CA.paa"
"100Rnd_65x39_caseless_mag_Tracer","\A3\Weapons_F\Data\UI\M_100Rnd_65x39_red_CA.paa"
"100Rnd_65x39_caseless_khaki_mag_tracer","\a3\Weapons_F\MagazineProxies\data\UI\icon_100Rnd_65x39_caseless_khaki_mag_tracer_CA.paa"
"100Rnd_65x39_caseless_black_mag_tracer","\a3\Weapons_F\MagazineProxies\data\UI\icon_100Rnd_65x39_caseless_black_mag_tracer_CA.paa"
"200Rnd_65x39_cased_Box","\A3\Weapons_F\Data\UI\M_200Rnd_65x39_CA.paa"
"200Rnd_65x39_cased_Box_Tracer","\A3\Weapons_F\Data\UI\m_200rnd_65x39_yellow_ca.paa"
"200Rnd_65x39_cased_Box_Red","\A3\Weapons_F\Data\UI\M_200Rnd_65x39_CA.paa"
"200Rnd_65x39_cased_Box_Tracer_Red","\A3\Weapons_F\Data\UI\m_200rnd_65x39_red_ca.paa"
"30Rnd_9x21_Mag","\A3\Weapons_F\Data\UI\M_30Rnd_45ACP_CA.paa"
"16Rnd_9x21_Mag","\A3\weapons_f\data\ui\M_16Rnd_9x21_CA.paa"
"30Rnd_9x21_Mag_SMG_02","\A3\weapons_f\data\ui\M_30Rnd_9x21_CA.paa"
"RPG32_F","\A3\Weapons_F\launchers\RPG32\data\UI\gear_rpg32_rocket_ca.paa"
"RPG32_HE_F","\A3\Weapons_F\launchers\RPG32\data\UI\gear_tbg32v_rocket_ca.paa"
"NLAW_F","\A3\weapons_f\launchers\nlaw\data\UI\gear_nlaw_rocket_ca.paa"
"1Rnd_HE_Grenade_shell","\A3\Weapons_f\Data\ui\gear_UGL_slug_CA.paa"
"1Rnd_Smoke_Grenade_shell","\A3\Weapons_f\Data\UI\gear_UGL_Smokeshell_white_CA.paa"
"1Rnd_SmokeRed_Grenade_shell","\A3\Weapons_f\Data\UI\gear_UGL_Smokeshell_red_CA.paa"
"1Rnd_SmokeGreen_Grenade_shell","\A3\Weapons_f\Data\UI\gear_UGL_Smokeshell_green_CA.paa"
"1Rnd_SmokeYellow_Grenade_shell","\A3\Weapons_f\Data\UI\gear_UGL_Smokeshell_yellow_CA.paa"
"1Rnd_SmokePurple_Grenade_shell","\A3\Weapons_f\Data\UI\gear_UGL_Smokeshell_purple_CA.paa"
"1Rnd_SmokeBlue_Grenade_shell","\A3\Weapons_f\Data\UI\gear_UGL_Smokeshell_blue_CA.paa"
"1Rnd_SmokeOrange_Grenade_shell","\A3\Weapons_f\Data\UI\gear_UGL_Smokeshell_orange_CA.paa"
"HandGrenade","\A3\Weapons_F\Data\UI\gear_M67_CA.paa"
"MiniGrenade","\A3\Weapons_F\Data\UI\gear_M67_CA.paa"
"SmokeShell","\A3\Weapons_f\data\ui\gear_smokegrenade_white_ca.paa"
"SmokeShellRed","\A3\Weapons_f\data\ui\gear_smokegrenade_red_ca.paa"
"SmokeShellGreen","\A3\Weapons_f\data\ui\gear_smokegrenade_green_ca.paa"
"SmokeShellYellow","\A3\Weapons_f\data\ui\gear_smokegrenade_yellow_ca.paa"
"SmokeShellPurple","\A3\Weapons_f\data\ui\gear_smokegrenade_purple_ca.paa"
"SmokeShellBlue","\A3\Weapons_f\data\ui\gear_smokegrenade_blue_ca.paa"
"SmokeShellOrange","\A3\Weapons_f\data\ui\gear_smokegrenade_orange_ca.paa"
"Chemlight_green","\A3\Weapons_F\Data\UI\M_chemlight_green_CA.paa"
"Chemlight_red","\A3\Weapons_F\Data\UI\M_chemlight_red_CA.paa"
"Chemlight_yellow","\A3\Weapons_F\Data\UI\M_chemlight_yellow_CA.paa"
"Chemlight_blue","\A3\Weapons_F\Data\UI\M_chemlight_blue_CA.paa"
"UGL_FlareWhite_F","\A3\Weapons_F\Data\UI\gear_UGL_Flare_CA.paa"
"UGL_FlareGreen_F","\A3\Weapons_F\Data\UI\gear_UGL_Flare_Green_CA.paa"
"UGL_FlareRed_F","\A3\Weapons_F\Data\UI\gear_UGL_Flare_Red_CA.paa"
"UGL_FlareYellow_F","\A3\Weapons_F\Data\UI\gear_UGL_Flare_yelow_CA.paa"
"UGL_FlareCIR_F","\A3\Weapons_F\Data\UI\gear_UGL_Flare_purple_CA.paa"
"FlareWhite_F","\A3\Weapons_F\Data\UI\gear_flare_white_ca.paa"
"FlareGreen_F","\A3\Weapons_F\Data\UI\gear_flare_green_ca.paa"
"FlareRed_F","\A3\Weapons_F\Data\UI\gear_flare_red_ca.paa"
"FlareYellow_F","\A3\Weapons_F\Data\UI\gear_flare_yellow_ca.paa"
"Laserbatteries","\A3\Weapons_F\Data\UI\M_battery_CA.paa"
"30Rnd_45ACP_Mag_SMG_01","\A3\Weapons_F\Data\UI\M_30Rnd_45ACP_CA.paa"
"150Rnd_762x51_Box","\A3\Weapons_F_Beta\Data\UI\m_150Rnd_762x51_CA.paa"
"150Rnd_762x51_Box_Tracer","\A3\Weapons_F_Beta\Data\UI\m_150Rnd_762x51_tracer_CA.paa"
"150Rnd_762x54_Box_Tracer","\A3\Weapons_F_Beta\Data\UI\m_150Rnd_762x51_tracer_CA.paa"
"Titan_AA","\A3\Weapons_F_beta\Launchers\titan\Data\UI\gear_titan_missile_atl_CA.paa"
"Titan_AP","\A3\Weapons_F_beta\Launchers\titan\Data\UI\gear_titan_missile_ap_CA.paa"
"Titan_AT","\A3\Weapons_F_beta\Launchers\titan\Data\UI\gear_titan_missile_at_CA.paa"
"11Rnd_45ACP_Mag","\A3\weapons_f\data\UI\M_16Rnd_9x21_CA.paa"
"6Rnd_45ACP_Cylinder","\A3\Weapons_F_EPA\Data\ui\M_6Rnd_revolver_CA.paa"
"10Rnd_762x51_Mag","\A3\Weapons_F_EPA\Data\ui\M_10Rnd_762x51_CA.paa"
"5Rnd_127x108_APDS_Mag","\A3\weapons_f\data\UI\M_5rnd_127x108_CA.paa"
"B_IR_Grenade","\A3\Weapons_F_EPB\Ammo\Data\UI\gear_B_IRstrobe_CA.paa"
"O_IR_Grenade","\A3\Weapons_F_EPB\Ammo\Data\UI\gear_O_IRstrobe_CA.paa"
"I_IR_Grenade","\A3\Weapons_F_EPB\Ammo\Data\UI\gear_I_IRstrobe_CA.paa"
"ATMine_Range_Mag","\A3\Weapons_F\Data\UI\gear_mine_AT_CA.paa"
"APERSMine_Range_Mag","\A3\Weapons_F\Data\UI\gear_mine_AP_CA.paa"
"APERSBoundingMine_Range_Mag","\A3\Weapons_F\Data\UI\gear_mine_AP_bouncing_CA.paa"
"SLAMDirectionalMine_Wire_Mag","\A3\Weapons_F\Data\UI\gear_mine_SLAM_directional_CA.paa"
"APERSTripMine_Wire_Mag","\A3\Weapons_F\Data\UI\gear_mine_AP_tripwire_CA.paa"
"ClaymoreDirectionalMine_Remote_Mag","\A3\Weapons_F\Data\UI\gear_mine_AP_miniclaymore_CA.paa"
"SatchelCharge_Remote_Mag","\A3\Weapons_f\data\UI\gear_satchel_CA.paa"
"DemoCharge_Remote_Mag","\A3\Weapons_F\Data\UI\gear_c4_charge_small_CA.paa"
"IEDUrbanBig_Remote_Mag","\A3\Weapons_F\Data\UI\gear_IED_large_urban_CA.paa"
"IEDLandBig_Remote_Mag","\A3\Weapons_F\Data\UI\gear_IED_large_dugin_CA.paa"
"IEDUrbanSmall_Remote_Mag","\A3\Weapons_F\Data\UI\gear_IED_small_urban_CA.paa"
"IEDLandSmall_Remote_Mag","\A3\Weapons_F\Data\UI\gear_IED_small_dugin_CA.paa"
"6Rnd_GreenSignal_F","\A3\Weapons_F_Kart\Pistols\Pistol_Signal_F\Data\UI\M_6Rnd_GreenSignal_CA.paa"
"6Rnd_RedSignal_F","\A3\Weapons_F_Kart\Pistols\Pistol_Signal_F\Data\UI\M_6Rnd_RedSignal_CA.paa"
"10Rnd_338_Mag","\A3\Weapons_F_Mark\Data\UI\M_338_CA.paa"
"130Rnd_338_Mag","\A3\Weapons_F_Mark\Data\UI\M_338_NM_CA.paa"
"10Rnd_127x54_Mag","\A3\Weapons_F_Mark\Data\UI\M_127x54_CA.paa"
"150Rnd_93x64_Mag","\A3\Weapons_F_Mark\Data\UI\M_93x64_CA.paa"
"10Rnd_93x64_DMR_05_Mag","\A3\Weapons_F_Mark\Data\UI\M_93x64_DMR_05_CA.paa"
"50Rnd_570x28_SMG_03","\a3\weapons_f_mod\data\m_adr97mag_ca.paa"
"30Rnd_580x42_Mag_F","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_30Rnd_580x42_Mag_F_CA.paa"
"30Rnd_580x42_Mag_Tracer_F","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_30Rnd_580x42_Mag_Tracer_F_CA.paa"
"100Rnd_580x42_Mag_F","\a3\Weapons_F_Exp\MagazineProxies\data\UI\icon_100Rnd_580x42_Mag_F_CA.paa"
