"UK3CB_BAF_6Rnd_30mm_L21A1_APDS","30mm APDS"
"UK3CB_BAF_6Rnd_30mm_L21A1_HE","30mm HE"
"UK3CB_BAF_1200Rnd_30mm_M230_HEDP_T","30mm 1200Rnd M789 HEDP-T"
"UK3CB_BAF_JAM_30mm_M230_HEDP_T","M230 JAMMED"
"UK3CB_BAF_1200Rnd_20mm_M621_HEI_T","20mm 1200Rnd Tracer (Red) Shells"
"UK3CB_BAF_12Rnd_CRV7_PG_HEISAP","CRV7-PG"
"UK3CB_BAF_12Rnd_CRV7_HEISAP","CRV7"
"UK3CB_BAF_12Rnd_CRV7_PG_FAT","CRV7-PG"
"UK3CB_BAF_12Rnd_CRV7_FAT","CRV7"
"UK3CB_BAF_PylonPod_12Rnd_CRV7_PG_HEISAP","12x CRV7-PG HEISAP"
"UK3CB_BAF_PylonPod_12Rnd_CRV7_HEISAP","12x CRV7 HEISAP"
"UK3CB_BAF_PylonPod_12Rnd_CRV7_PG_FAT","12x CRV7-PG FAT"
"UK3CB_BAF_PylonPod_12Rnd_CRV7_FAT","12x CRV7 FAT"
"UK3CB_BAF_PylonPod_19Rnd_CRV7_PG_HEISAP","19x CRV7-PG HEISAP"
"UK3CB_BAF_PylonPod_19Rnd_CRV7_HEISAP","19x CRV7 HEISAP"
"UK3CB_BAF_PylonPod_19Rnd_CRV7_PG_FAT","19x CRV7-PG FAT"
"UK3CB_BAF_PylonPod_19Rnd_CRV7_FAT","19x CRV7 FAT"
"UK3CB_BAF_PylonRack_1Rnd_GBU","1 x GBU-12"
"UK3CB_BAF_1Rnd_GBU","GBU-12 Bomb"
"UK3CB_BAF_2Rnd_Hellfire_K","AGM-114K"
"UK3CB_BAF_4Rnd_Hellfire_K","AGM-114K"
"UK3CB_BAF_4Rnd_Hellfire_L","AGM-114L"
"UK3CB_BAF_2Rnd_Hellfire_N","AGM-114N"
"UK3CB_BAF_4Rnd_Hellfire_N","AGM-114N"
"UK3CB_BAF_PylonRack_2Rnd_Hellfire_K","2x AGM-114K"
"UK3CB_BAF_PylonRack_4Rnd_Hellfire_K","4x AGM-114K"
"UK3CB_BAF_PylonRack_4Rnd_Hellfire_L","4x AGM-114L"
"UK3CB_BAF_PylonRack_2Rnd_Hellfire_N","2x AGM-114N"
"UK3CB_BAF_PylonRack_4Rnd_Hellfire_N","4x AGM-114N"
"UK3CB_BAF_1Rnd_TOW","TOW Missile"
"UK3CB_BAF_1Rnd_Milan","Milan Missile"
"UK3CB_BAF_IRJammer_Magazine","IR Jammer"
"70mm_19rnds","70mm Rockets"
"122mm_10rnds","70mm Rockets"
"UK3CB_Factions_1Rnd_Scud","Scud Missile"
"UK3CB_3BM26","3BM26 APDSFS"
"UK3CB_3BM32","3BM32 APDSFS"
"UK3CB_3OF26","3OF26 HE-FRAG"
"UK3CB_3BK18","3BK18 HEAT-FS"
"UK3CB_3BK21","3BK21 HEAT-FS"
"UK3CB_BM8","BM8 APDS"
"UK3CB_OF412","OF412 HE-FRAG"
"UK3CB_BK5M","BK5M HEAT-FS"
"UK3CB_BR365","BR365 APHE"
"UK3CB_BR365P","3BK18 APCR"
"UK3CB_O365K","O365K HE"
"UK3CB_1500Rnd_762x54_PKT","PKT"
"UK3CB_63Rnd_762x54_DT","DT"
"UK3CB_AT11","9M119M Refleks-M"
"UK3CB_200Rnd_23mm_AZP23","23mm AZP-23"
"UK3CB_BAF_SmokeShell","L50A1 White Smoke Grenade"
"UK3CB_BAF_SmokeShellRed","L70 Red Smoke Grenade"
"UK3CB_BAF_SmokeShellGreen","L68 Green Smoke Grenade"
"UK3CB_BAF_SmokeShellYellow","L100 Yellow Smoke Grenade"
"UK3CB_BAF_SmokeShellPurple","L101 Purple Smoke Grenade"
"UK3CB_BAF_SmokeShellBlue","L71 Blue Smoke Grenade"
"UK3CB_BAF_SmokeShellOrange","L69 Orange Smoke Grenade"
"UK3CB_BAF_1Rnd_HE_Grenade_Shell","40mm HE Grenade Round (L123)"
"UK3CB_BAF_1Rnd_HEDP_Grenade_Shell","40mm HEDP Grenade Round (L123)"
"UK3CB_BAF_1Rnd_Blank_Grenade_Shell","40mm Practice Round (L123)"
"UK3CB_BAF_UGL_FlareWhite_F","40mm White Flare (L123)"
"UK3CB_BAF_UGL_FlareRed_F","40mm Red Flare (L123)"
"UK3CB_BAF_UGL_FlareGreen_F","40mm Green Flare (L123)"
"UK3CB_BAF_UGL_FlareYellow_F","40mm Yellow Flare (L123)"
"UK3CB_BAF_UGL_FlareCIR_F","40mm IR Flare (L123)"
"UK3CB_BAF_1Rnd_Smoke_Grenade_shell","40mm White Smoke (L123)"
"UK3CB_BAF_1Rnd_SmokeRed_Grenade_shell","40mm Red Smoke (L123)"
"UK3CB_BAF_1Rnd_SmokeGreen_Grenade_shell","40mm Green Smoke (L123)"
"UK3CB_BAF_1Rnd_SmokeYellow_Grenade_shell","40mm Yellow Smoke (L123)"
"UK3CB_BAF_1Rnd_SmokePurple_Grenade_shell","40mm Purple Smoke (L123)"
"UK3CB_BAF_1Rnd_SmokeBlue_Grenade_shell","40mm Blue Smoke (L123)"
"UK3CB_BAF_1Rnd_SmokeOrange_Grenade_shell","40mm Orange Smoke (L123)"
"UK3CB_BAF_AT4_AT_Mag","AT4 HP Tube"
"UK3CB_BAF_AT4_AP_Mag","AT4 HEDP Tube"
"UK3CB_BAF_AT4_CS_AT_Mag","ILAW HP Tube"
"UK3CB_BAF_AT4_CS_AP_Mag","ILAW HEDP Tube"
"UK3CB_BAF_AT4_Mag_Used","ILAW/AT4 Tube (used)"
"UK3CB_BAF_Javelin_Mag","Javelin Tube"
"UK3CB_BAF_NLAW_Mag","NLAW Tube"
"UK3CB_BAF_NLAW_Mag_Used","NLAW Tube (used)"
"UK3CB_Factions_Antonov_AN2_1Rnd_bombPod","Bombs"
"UK3CB_Factions_AN2_1000Rnd_127x99","Cannon"
"UK3CB_Factions_Antonov_AN2_rocketPod","Rocket"
"rhsgref_20rnd_765x17_vz61","20rnd Vz. 61 7.65x17mm"
"rhsgref_10rnd_765x17_vz61","10rnd Vz. 61 7.65x17mm"
"UK3CB_V_Pouch","Hip Pouch"
"UK3CB_V_Belt_KHK","Belt Crew (Khaki)"
"UK3CB_V_Belt_Rig_Lite_KHK","Belt Rig Lite (Khaki)"
"UK3CB_V_Belt_Rig_KHK","Belt Rig (Khaki)"
"UK3CB_V_Chestrig_TKA_BRUSH","Lazutchik M Chest Rig (Takistan Brush) (L)"
"UK3CB_V_Chestrig_TKA_OLI","Lazutchik M Chest Rig (Olive) (L)"
"UK3CB_V_Chestrig_2_Small_OLI","Lazutchik M Chest Rig (Olive) (S)"
"UK3CB_V_Chestrig_Lite_KHK","Lazutchik M Chest Rig Basic (Khaki) (L)"
"UK3CB_V_Chestrig_Lite_2_Small_KHK","Lazutchik M Chest Rig Basic (Khaki) (S)"
"UK3CB_V_CW_Chestrig","Ammo Pouch Bandoleer (Khaki) (L)"
"UK3CB_V_CW_Chestrig_2_Small","Ammo Pouch Bandoleer (Khaki) (S)"
"UK3CB_V_Pilot_Vest","Pilot Vest"
"UK3CB_V_PASGT_RIF_Vest","PASGT Vest (Woodland)"
"UK3CB_V_PASGT_Crew_Vest","PASGT Crew Vest (Woodland)"
"UK3CB_V_PASGT_Medic_Vest","PASGT Medic Vest (Woodland)"
"UK3CB_V_PASGT_MG_Vest","PASGT Machine Gunner Vest (Woodland)"
"UK3CB_HandGrenadeMuzzle","Practice Grenade"
"UK3CB_SmokeShellMuzzle","Grenade White Smoke"
"UK3CB_SmokeShellRedMuzzle","Grenade Red Smoke"
"UK3CB_SmokeShellGreenMuzzle","Grenade Green Smoke"
"UK3CB_SmokeShellYellowMuzzle","Grenade Yellow Smoke"
"UK3CB_SmokeShellPurpleMuzzle","Grenade Purple Smoke"
"UK3CB_SmokeShellBlueMuzzle","Grenade blue Smoke"
"UK3CB_SmokeShellOrangeMuzzle","Grenade Orange Smoke"
"UK3CB_H_Crew_Cap","Crew Helmet (Tan)"
"UK3CB_H_Crew_Cap_Ess","Crew Helmet ESS (Tan)"
"UK3CB_H_Pilot_Helmet","Helicopter Pilot Helmet"
"UK3CB_H_Crew_Helmet","Helicopter Crew Helmet"
"UK3CB_H_Shemag_blk","Shemagh (Black)"
"UK3CB_H_Shemag_grey","Shemagh (Grey)"
"UK3CB_H_Shemag_oli","Shemagh (Olive)"
"UK3CB_H_Shemag_red","Shemagh (Red Pattern)"
"UK3CB_H_Shemag_tan","Shemagh (Tan)"
"UK3CB_H_Shemag_white","Shemagh (White)"
"UK3CB_H_Mil_Turban_Wrap","Turban & Face Wrap"
"UK3CB_H_Mil_Turban_Wrap_01","Turban & Face Wrap (B)"
"UK3CB_TKM_O_H_Turban_01_1","Insurgent Turban (A)"
"UK3CB_TKM_O_H_Turban_02_1","Insurgent Turban (B)"
"UK3CB_TKM_O_H_Turban_03_1","Insurgent Pakol (A)"
"UK3CB_TKM_O_H_Turban_04_1","Insurgent Pakol (B)"
"UK3CB_TKM_O_H_Turban_05_1","Insurgent Skullcap"
"UK3CB_TKM_I_H_Turban_01_1","Tribal Fighter Turban (A)"
"UK3CB_TKM_I_H_Turban_02_1","Tribal Fighter Turban (B)"
"UK3CB_TKM_I_H_Turban_03_1","Tribal Fighter Pakol (A)"
"UK3CB_TKM_I_H_Turban_04_1","Tribal Fighter Pakol (B)"
"UK3CB_TKM_I_H_Turban_05_1","Tribal Fighter Skullcap"
"UK3CB_TKM_B_H_Turban_01_1","Militia Turban (A)"
"UK3CB_TKM_B_H_Turban_02_1","Militia Turban (B)"
"UK3CB_TKM_B_H_Turban_03_1","Militia Pakol (A)"
"UK3CB_TKM_B_H_Turban_04_1","Militia Pakol (B)"
"UK3CB_TKM_B_H_Turban_05_1","Militia Skullcap"
"UK3CB_TKC_H_Turban_01_1","Civilian Pakol (A)"
"UK3CB_TKC_H_Turban_02_1","Civilian Pakol (B)"
"UK3CB_TKC_H_Turban_03_1","Civilian Skullcap"
"UK3CB_TKC_H_Turban_04_1","Civilian Turban (A)"
"UK3CB_TKC_H_Turban_05_1","Civilian Turban (B)"
"UK3CB_TKC_H_Turban_06_1","Civilian Pakol (C)"
"UK3CB_TKC_H_Pilot_Turban_01_1","Civilian Pilot Pakol 01"
"UK3CB_H_Beanie_01","Beanie"
"UK3CB_H_Beret_Officer","Militia Officer Beret"
"UK3CB_H_Civ_Beret","Beret (Black + Red Star)"
"UK3CB_H_Police_Cap","Cap (Chernarus Police)"
"UK3CB_H_Worker_Cap_01","Worker Cap"
"UK3CB_H_Villager_Cap_01","Villager Cap"
"UK3CB_H_Profiteer_Cap_01","Profiteer Cap"
"UK3CB_H_Ushanka_Cap_01","Ushanka"
"UK3CB_H_M1_Helmet_Covered_01_WDL","M1 Helmet Covered (Woodland)"
"UK3CB_H_M1_Helmet_Covered_02_WDL","M1 Helmet Covered (Woodland Alt)"
"UK3CB_H_M1_Helmet_Covered_02_WDL_01","M1 Helmet Covered 02 (Woodland)"
"UK3CB_H_M1_Helmet_Covered_02_WDL_02","M1 Helmet Covered 02 (Woodland Alt)"
"UK3CB_H_Patrol_Cap","Patrol Cap"
"UK3CB_PVS5A","PVS-5A"
"UK3CB_ANPVS7","AN/PVS-7B"
"UK3CB_BAF_H_Beret_AAC","Beret Army Air Corps [BAF]"
"UK3CB_BAF_H_Beret_Mer","Beret Mercian Regt [BAF]"
"UK3CB_BAF_H_Beret_PR","Beret Parachute Regt [BAF]"
"UK3CB_BAF_H_Beret_PWRR","Beret PWRR [BAF]"
"UK3CB_BAF_H_Beret_RA","Beret Royal Anglian [BAF]"
"UK3CB_BAF_H_Beret_RAMC","Beret RAMC Medic [BAF]"
"UK3CB_BAF_H_Beret_RAMC_Officer","Beret RAMC Ofc [BAF]"
"UK3CB_BAF_H_Beret_REng","Beret Royal Engineers [BAF]"
"UK3CB_BAF_H_Beret_RLC_Commando","Beret Royal Logistics Corps Cdo [BAF]"
"UK3CB_BAF_H_Beret_RM_Bootneck","Beret Royal Marines Mne [BAF]"
"UK3CB_BAF_H_Beret_RM_Officer","Beret Royal Marines Ofc [BAF]"
"UK3CB_BAF_H_Beret_RM_Parade","Beret Royal Marines Parade [BAF]"
"UK3CB_BAF_H_Beret_RM_Recruit","Beret Royal Marines Rct [BAF]"
"UK3CB_BAF_H_Beret_RMP","Beret Royal Military Police [BAF]"
"UK3CB_BAF_H_Beret_RTR","Beret Royal Tank Regt [BAF]"
"UK3CB_BAF_H_Beret_SAS","Beret SAS [BAF]"
"UK3CB_BAF_H_Beret_SBS","Beret SBS [BAF]"
"UK3CB_BAF_H_Beret_UN","Beret UN [BAF]"
"UK3CB_BAF_H_Beret_UN_Officer","Beret UN Ofc [BAF]"
"UK3CB_BAF_H_Beret_TYR","Beret Yorkshire Regt [BAF]"
"UK3CB_BAF_H_Beret_SR","Beret Scottish Regt [BAF]"
"UK3CB_BAF_H_Beret_RW","Beret Royal Welsh [BAF]"
"UK3CB_BAF_H_Beret_RAF","Beret RAF [BAF]"
"UK3CB_BAF_H_Beret_Signals","Beret Royal Signals Regt [BAF]"
"UK3CB_BAF_H_Beret_Rifles","Beret Rifles Regt [BAF]"
"UK3CB_BAF_H_Beret_RArt","Beret Royal Artillery [BAF]"
"UK3CB_BAF_H_Beret_CRArt","Beret Commando Royal Artillery [BAF]"
"UK3CB_BAF_H_Beret_BR","Beret Blues & Royals [BAF]"
"UK3CB_BAF_H_Beret_CSG","Beret Coldstream Guards [BAF]"
"UK3CB_BAF_H_Beret_GG","Beret Grenadier Guards [BAF]"
"UK3CB_BAF_H_Beret_IG","Beret Irish Guards [BAF]"
"UK3CB_BAF_H_Beret_LG","Beret Life Guards [BAF]"
"UK3CB_BAF_H_Beret_WG","Beret Welsh Guards [BAF]"
"UK3CB_BAF_H_Beret_SG","Beret Scots Guard [BAF]"
"UK3CB_BAF_H_Beret_AAC_PRR","Beret Army Air Corps PRR [BAF]"
"UK3CB_BAF_H_Beret_Mer_PRR","Beret Mercian Regt PRR [BAF]"
"UK3CB_BAF_H_Beret_PR_PRR","Beret Parachute Regt PRR [BAF]"
"UK3CB_BAF_H_Beret_PWRR_PRR","Beret PWRR PRR [BAF]"
"UK3CB_BAF_H_Beret_RA_PRR","Beret Royal Anglian PRR [BAF]"
"UK3CB_BAF_H_Beret_RAMC_PRR","Beret RAMC Medic PRR [BAF]"
"UK3CB_BAF_H_Beret_RAMC_Officer_PRR","Beret RAMC Ofc PRR [BAF]"
"UK3CB_BAF_H_Beret_REng_PRR","Beret Royal Engineers PRR [BAF]"
"UK3CB_BAF_H_Beret_RLC_Commando_PRR","Beret Royal Logistics Corps Cdo PRR [BAF]"
"UK3CB_BAF_H_Beret_RM_Bootneck_PRR","Beret Royal Marines Mne PRR [BAF]"
"UK3CB_BAF_H_Beret_RM_Officer_PRR","Beret Royal Marines Ofc PRR [BAF]"
"UK3CB_BAF_H_Beret_RM_Recruit_PRR","Beret Royal Marines Rct PRR [BAF]"
"UK3CB_BAF_H_Beret_RTR_PRR","Beret Royal Tank Regt PRR [BAF]"
"UK3CB_BAF_H_Beret_RMP_PRR","Beret Royal Military Police PRR [BAF]"
"UK3CB_BAF_H_Beret_SAS_PRR","Beret SAS PRR [BAF]"
"UK3CB_BAF_H_Beret_SBS_PRR","Beret SBS PRR [BAF]"
"UK3CB_BAF_H_Beret_UN_PRR","Beret UN PRR [BAF]"
"UK3CB_BAF_H_Beret_UN_Officer_PRR","Beret UN Ofc PRR [BAF]"
"UK3CB_BAF_H_Beret_TYR_PRR","Beret Yorkshire Regt PRR [BAF]"
"UK3CB_BAF_H_Beret_SR_PRR","Beret Scottish Regt PRR [BAF]"
"UK3CB_BAF_H_Beret_RW_PRR","Beret Royal Welsh PRR [BAF]"
"UK3CB_BAF_H_Beret_RAF_PRR","Beret RAF PRR [BAF]"
"UK3CB_BAF_H_Beret_Signals_PRR","Beret Royal Signals Regt PRR [BAF]"
"UK3CB_BAF_H_Beret_Rifles_PRR","Beret Rifles Regt PRR [BAF]"
"UK3CB_BAF_H_Beret_RArt_PRR","Beret Royal Artillery PRR [BAF]"
"UK3CB_BAF_H_Beret_CRArt_PRR","Beret Commando Royal Artillery PRR [BAF]"
"UK3CB_BAF_H_Beret_BR_PRR","Beret Blues & Royals PRR [BAF]"
"UK3CB_BAF_H_Beret_CSG_PRR","Beret Coldstream Guards PRR [BAF]"
"UK3CB_BAF_H_Beret_GG_PRR","Beret Grenadier Guards PRR [BAF]"
"UK3CB_BAF_H_Beret_IG_PRR","Beret Irish Guards PRR [BAF]"
"UK3CB_BAF_H_Beret_LG_PRR","Beret Life Guards PRR [BAF]"
"UK3CB_BAF_H_Beret_WG_PRR","Beret Welsh Guards PRR [BAF]"
"UK3CB_BAF_H_Beret_SG_PRR","Beret Scots Guard PRR [BAF]"
"UK3CB_BAF_H_Beret_AAC_Over","Beret Army Air Corps PRR Over [BAF]"
"UK3CB_BAF_H_Beret_Mer_PRR_Over","Beret Mercian Regt PRR Over [BAF]"
"UK3CB_BAF_H_Beret_PR_PRR_Over","Beret Parachute Regt PRR Over [BAF]"
"UK3CB_BAF_H_Beret_PWRR_PRR_Over","Beret PWRR PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RA_PRR_Over","Beret Royal Anglian PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RAMC_PRR_Over","Beret RAMC Medic PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RAMC_Officer_PRR_Over","Beret RAMC Ofc PRR Over [BAF]"
"UK3CB_BAF_H_Beret_REng_PRR_Over","Beret Royal Engineers PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RLC_Commando_PRR_Over","Beret Royal Logistics Corps Cdo PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RM_Bootneck_PRR_Over","Beret Royal Marines Mne PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RM_Officer_PRR_Over","Beret Royal Marines Ofc PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RM_Recruit_PRR_Over","Beret Royal Marines Rct PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RMP_Over","Beret Royal Military Police PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RTR_PRR_Over","Beret Royal Tank Regt PRR Over [BAF]"
"UK3CB_BAF_H_Beret_SAS_PRR_Over","Beret SAS PRR Over [BAF]"
"UK3CB_BAF_H_Beret_SBS_PRR_Over","Beret SBS PRR Over [BAF]"
"UK3CB_BAF_H_Beret_UN_PRR_Over","Beret UN PRR Over [BAF]"
"UK3CB_BAF_H_Beret_UN_Officer_PRR_Over","Beret UN Ofc PRR Over [BAF]"
"UK3CB_BAF_H_Beret_TYR_PRR_Over","Beret Yorkshire Regt PRR Over [BAF]"
"UK3CB_BAF_H_Beret_SR_PRR_Over","Beret Scottish Regt PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RW_PRR_Over","Beret Royal Welsh PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RAF_PRR_Over","Beret RAF PRR Over [BAF]"
"UK3CB_BAF_H_Beret_Signals_PRR_Over","Beret Royal Signals Regt PRR Over [BAF]"
"UK3CB_BAF_H_Beret_Rifles_PRR_Over","Beret Rifles Regt PRR Over [BAF]"
"UK3CB_BAF_H_Beret_RArt_PRR_Over","Beret Royal Artillery PRR Over [BAF]"
"UK3CB_BAF_H_Beret_CRArt_PRR_Over","Beret Commando Royal Artillery PRR Over [BAF]"
"UK3CB_BAF_H_Beret_BR_PRR_Over","Beret Blues & Royals PRR Over [BAF]"
"UK3CB_BAF_H_Beret_CSG_PRR_Over","Beret Coldstream Guards PRR Over [BAF]"
"UK3CB_BAF_H_Beret_GG_PRR_Over","Beret Grenadier Guards PRR Over [BAF]"
"UK3CB_BAF_H_Beret_IG_PRR_Over","Beret Irish Guards PRR Over [BAF]"
"UK3CB_BAF_H_Beret_LG_PRR_Over","Beret Life Guards PRR Over [BAF]"
"UK3CB_BAF_H_Beret_WG_PRR_Over","Beret Welsh Guards PRR Over [BAF]"
"UK3CB_BAF_H_Beret_SG_PRR_Over","Beret Scots Guard PRR Over [BAF]"
"UK3CB_BAF_H_Wool_Hat","Wool Commando Hat [BAF]"
"UK3CB_BAF_H_Boonie_DPMT_PRR","Boonie DPM Tmp PRR (Under) [BAF]"
"UK3CB_BAF_H_Boonie_DPMW_PRR","Boonie DPM Wdl PRR (Under) [BAF]"
"UK3CB_BAF_H_Boonie_DDPM_PRR","Boonie DDPM PRR (Under) [BAF]"
"UK3CB_BAF_H_Boonie_MTP_PRR","Boonie MTP PRR (Under) [BAF]"
"UK3CB_BAF_H_Boonie_DPMT","Boonie DPM Tmp [BAF]"
"UK3CB_BAF_H_Boonie_DPMW","Boonie DPM Wdl [BAF]"
"UK3CB_BAF_H_Boonie_DDPM","Boonie DDPM [BAF]"
"UK3CB_BAF_H_Boonie_MTP","Boonie MTP [BAF]"
"UK3CB_BAF_H_Headset_PRR","Headset PRR [BAF]"
"UK3CB_BAF_H_Earphone","Ear Defender Headset [BAF]"
"UK3CB_BAF_H_Mk7_Camo_A","Helmet Mk7 MTP (A) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_B","Helmet Mk7 MTP (B) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_C","Helmet Mk7 MTP (C) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_D","Helmet Mk7 MTP (D) [BAF]"
